English,Yolŋu,Root word
alcohol,guruk,grog
bear,beya,bear
billy goat,biligut,billy goat
bullock,buluki,bullock
camel,gamuḻ
car,mutika,motor car
cattle,buluki,bullock
Chinese,Djaṉiman,Chinaman
Christmas,Kritjmatj,Christmas
cockroach,gagurutj
donkey,daŋgi,donkey
Easter,Iitja,Easter
English,Iŋglitj,English
Filipino,Bilipin,Philippine(s)
Friday,Birayti,Friday
gambling,dhalithali,tally
goat,nanikut,nanny goat
government,gapman,government
Japanese,Djapani,Japanese
kiwi,giwi,kiwi
koala,kuwäla,koala
leopard,lipit,leopard
lamb,läm,lamb
lion,läyin,lion
Monday,Mandi,Monday
money,mäni,money
money,rrupiyah,rupiah
monkey,maŋgi,monkey
nanny goat,nanikut,nanny goat
pig,bikibiki,piggy
potato,bitata,potato
Saturday,Djatati,Saturday
Sunday,Djandi,Sunday
Thursday,Djätjthi,Thursday
toilet,toilit,toilet
Tuesday,Tjojthi,Tuesday
twitch(ing),ḏuwitj,twitch
Wednesday,Winitjthi,Wednesday
White person,Balanda,Balanda (Macassan borrowing, from "Hollander")
